duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,1,0,0,-0.0150263,0.00204904,-7.45106e-05,0,0,0,0,0,-0.0104074,0.00238108,-0.000139921,0,0,0.5,0,0,2.0739e-11,-8.14993e-12,1.93456e-12,0,0,0,0,0,0,0,0,0,
1,0.986948,-0.0372553,-0.0335298,-0.00757524,0.00167649,-7.45106e-05,0,0,-0.0081662,-0.0223974,-0.0183348,-0.00228226,0.00168147,-0.000139921,0,0,0.5,3.91154e-11,2.99272e-11,2.43094e-12,-2.6974e-12,5.15255e-13,0,0,0,0,0,0,0,0,0,
1,0.91019,-0.120707,-0.0469417,-0.0016144,0.00130393,-7.45106e-05,0,0,-0.0496391,-0.0598875,-0.016492,0.00304442,0.000981866,-0.000139921,0,0,0.5,9.74758e-11,2.43201e-11,-4.91696e-12,-2.24754e-12,2.65676e-13,0,0,0,0,0,0,0,0,0,
1,0.742156,-0.21459,-0.0447063,0.00285624,0.000931382,-7.45106e-05,0,0,-0.122132,-0.0805104,-0.00286675,0.00557267,0.00028226,-0.000139921,0,0,0.5,1.24427e-10,-3.87335e-12,-1.0596e-12,-7.14007e-12,2.79721e-12,0,0,0,0,0,0,0,0,0,
1,0.486573,-0.292081,-0.0312944,0.00583666,0.000558829,-7.45106e-05,0,0,-0.199794,-0.0690965,0.0141456,0.0053025,-0.000417346,-0.000139921,0,0,0.5,9.89413e-11,-2.42579e-11,-5.52269e-12,6.14619e-13,1.36002e-13,0,0,0,0,0,0,0,0,0,
1,0.169518,-0.335298,-0.0111766,0.00732687,0.000186276,-7.45105e-05,0,0,-0.25,-0.0272668,0.0261498,0.0022339,-0.00111695,1.06693e-10,0,0,0.5,3.6994e-11,-3.61196e-11,-3.07665e-12,1.89759e-12,-1.30118e-13,0,0,0,0,0,0,0,0,0,
1,-0.169518,-0.335298,0.0111766,0.00732687,-0.000186276,-7.45105e-05,0,0,-0.25,0.0272668,0.0261498,-0.0022339,-0.00111695,0.000139921,0,0,0.5,-3.73457e-11,-3.55502e-11,3.9666e-12,2.0961e-13,1.60538e-13,0,0,0,0,0,0,0,0,0,
1,-0.486573,-0.292081,0.0312944,0.00583666,-0.000558829,-7.45106e-05,0,0,-0.199794,0.0690965,0.0141456,-0.0053025,-0.000417346,0.000139921,0,0,0.5,-9.51186e-11,-2.29923e-11,5.5822e-12,2.95319e-13,2.58016e-13,0,0,0,0,0,0,0,0,0,
1,-0.742156,-0.21459,0.0447063,0.00285624,-0.000931382,-7.45106e-05,0,0,-0.122132,0.0805104,-0.00286675,-0.00557267,0.00028226,0.000139921,0,0,0.5,-1.22248e-10,-2.6219e-12,1.06146e-11,-3.84581e-12,2.05957e-12,0,0,0,0,0,0,0,0,0,
1,-0.91019,-0.120707,0.0469417,-0.0016144,-0.00130393,-7.45106e-05,0,0,-0.0496391,0.0598875,-0.016492,-0.00304442,0.000981866,0.000139921,0,0,0.5,-1.01473e-10,2.50813e-11,5.7927e-12,-6.03517e-13,-6.94667e-13,0,0,0,0,0,0,0,0,0,
1,-0.986948,-0.0372553,0.0335298,-0.00757524,-0.00167649,-7.45106e-05,0,0,-0.0081662,0.0223974,-0.0183348,0.00228226,0.00168147,0.000139921,0,0,0.5,-4.02007e-11,3.20508e-11,-3.59002e-12,-2.49134e-12,-6.32827e-13,0,0,0,0,0,0,0,0,0,
