duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,3,0,0,-0.0324547,0.0140305,-0.00167101,0,0,-4,0,0,0.120613,-0.0430894,0.00483196,0,0,1,0,0,7.96785e-11,-1.5925e-11,5.94991e-12,0,0,0,0,0,0,0,0,0,0,
1,2.9799,-0.0495972,-0.0298912,0.00695722,0.00567547,-0.00167101,0,0,-3.91764,0.21364,0.151621,-0.00342519,-0.0189296,0.00483196,0,0,1,2.05655e-10,1.90925e-10,4.50946e-11,-1.93063e-11,4.60787e-12,0,0,0,0,0,0,0,0,0,0,
1,2.91138,-0.0741611,0.00832317,0.012949,-0.00267957,0.000131597,0,0,-3.56991,0.455049,0.076088,-0.0308239,0.00523022,-0.000327498,0,0,1,6.69487e-10,2.54266e-10,5.44276e-12,-2.22755e-12,-1.249e-12,0,0,0,0,0,0,0,0,0,0,
1,2.85594,-0.028728,0.0324087,0.00354669,-0.00202159,0.000131597,0,0,-3.06469,0.534037,0.0117227,-0.013178,0.00359274,-0.000327498,0,0,1,1.17943e-09,2.465e-10,-1.68132e-11,-7.0699e-12,3.99814e-12,0,0,0,0,0,0,0,0,0,0,
1,2.86128,0.0393011,0.0322353,-0.00322368,-0.0013636,0.000131597,0,0,-2.52884,0.530682,-0.00952976,-0.00208201,0.00195525,-0.000327498,0,0,1,1.61404e-09,1.90866e-10,-1.47047e-11,-9.52838e-12,2.04725e-12,0,0,0,0,0,0,0,0,0,0,
1,2.92836,0.0893042,0.0156986,-0.00736209,-0.00070561,0.000131597,0,0,-2.00814,0.51156,-0.00731929,0.002464,0.000317758,-0.000327498,0,0,1,1.92179e-09,1.18046e-10,-4.51799e-11,1.17417e-11,-4.93139e-12,0,0,0,0,0,0,0,0,0,0,
1,3.02543,0.0964508,-0.00930533,-0.00886856,-4.7623e-05,0.000131597,0,0,-1.50145,0.503947,-0.00129572,0.00106143,-0.00252248,0.000273876,0,0,1,2.04397e-09,2.93987e-12,-2.99281e-11,4.66649e-12,-2.45071e-12,0,0,0,0,0,0,0,0,0,0,
1,3.10379,0.0517019,-0.0348808,-0.00774308,0.000610364,0.000131597,0,0,-0.999985,0.495819,-0.0105075,-0.00628973,-0.0011531,0.000273876,0,0,1,1.96954e-09,-9.07967e-11,-5.07825e-11,8.34266e-12,-1.16862e-12,0,0,0,0,0,0,0,0,0,0,
1,3.11361,-0.0381894,-0.0531318,-0.00398564,0.00126835,0.000131597,0,0,-0.521842,0.452692,-0.0335566,-0.00816337,0.000216278,0.000273876,0,0,1,1.66469e-09,-2.20316e-10,-4.54374e-11,2.43725e-11,-7.89457e-12,0,0,0,0,0,0,0,0,0,0,
1,3.0197,-0.150679,-0.0561627,0.00213926,0.0024553,-0.000132884,0,0,-0.11038,0.363323,-0.0540102,-0.00429502,0.00105669,0.000538357,0,0,1,1.14541e-09,-2.89063e-10,-2.0842e-11,-3.75699e-12,3.75677e-12,0,0,0,0,0,0,0,0,0,0,
1,2.81732,-0.247429,-0.0363419,0.0100298,0.00299448,-0.000734683,0,0,0.196233,0.249336,-0.0551716,0.00591713,0.00254488,0.00114016,0,0,1,5.08474e-10,-3.52232e-10,-2.52882e-11,1.26246e-11,-3.81406e-12,0,0,0,0,0,0,0,0,0,0,
1,2.54584,-0.281719,0.00436761,0.0146609,-0.000678936,-0.000734683,0,0,0.4,0.172625,-0.0107493,0.0274982,0.00824566,-0.00409568,0,0,1,-2.40759e-10,-3.8286e-10,-5.63816e-12,2.20712e-12,4.33209e-13,0,0,0,0,0,0,0,0,0,0,
1,2.28173,-0.23539,0.0369299,0.00459834,-0.00441415,0.000620011,0,0,0.593524,0.246125,0.0802624,0.036631,-0.0463849,0.0116566,0,0,1,-1.01288e-09,-3.83093e-10,7.19247e-12,5.41078e-12,-2.46803e-12,0,0,0,0,0,0,0,0,0,0,
1,2.08408,-0.162292,0.0304401,-0.00685815,-0.00131409,0.000620011,0,0,0.921814,0.389286,0.0284119,-0.0323426,0.0118981,-0.00161096,0,0,1,-1.7473e-09,-3.40339e-10,1.67049e-11,2.98428e-13,7.90701e-13,0,0,0,0,0,0,0,0,0,0,
1,1.94467,-0.124143,0.00818125,-0.00736972,0.00469656,-0.00083529,0,0,1.31746,0.38862,-0.0133367,0.000595608,0.00093273,-0.00015566,0,0,1,-2.3721e-09,-2.92768e-10,2.2732e-11,9.10294e-12,-3.1446e-12,0,0,0,0,0,0,0,0,0,0,
1,1.8252,-0.115279,0.00589856,0.00306363,0.000520113,-0.00083529,0,0,1.69411,0.366686,-0.00751013,0.00276993,0.000154431,-0.00015566,0,0,1,-2.87005e-09,-2.07951e-10,3.22053e-12,2.77129e-11,-6.80922e-12,0,0,0,0,0,0,0,0,0,0,
1,1.71857,-0.0963875,0.00985722,-0.00320882,-0.00365634,0.00059207,0,0,2.05606,0.359815,0.000169646,0.00206673,-0.00109522,8.00152e-05,0,0,1,-3.2016e-09,-9.26423e-11,3.12905e-11,-1.37756e-12,-1.09013e-12,0,0,0,0,0,0,0,0,0,0,
1,1.62577,-0.0979645,-0.0157865,-0.0119135,-0.000695986,0.00059207,0,0,2.41709,0.362374,0.000598677,-0.00151399,-0.000695143,8.00153e-05,0,0,1,-3.30655e-09,-2.18385e-11,4.40696e-11,-5.87708e-12,-2.14273e-14,0,0,0,0,0,0,0,0,0,0,
1,1.5,-0.165101,-0.0497821,-0.0087767,0.00226436,-0.000150728,0,0,2.77794,0.356648,-0.007314,-0.00349441,-0.000295066,8.00152e-05,0,0,1,-3.24128e-09,7.92433e-11,2.30962e-11,1.76748e-13,-7.92255e-13,0,0,0,0,0,0,0,0,0,0,
